id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
42418617,Standard Double/NoSmoke/Breakfast,332234923,ホテルウィングインターナショナル 後楽園,文京区,35.70635,139.75462,一般住宅個室,,1,0,,,20,51,0,Hotels and Inns Business Act | 文京区文京保健所長　友松栄二 | 15文文生環き第503号
42418721,6min->JRSuidobashi Sta/StudioDouble/NoSmoke/NoMeal,332234923,ホテルウィングインターナショナル 後楽園,文京区,35.70704,139.75461,一般住宅個室,,1,1,2023-11-14,0.13,20,55,1,Hotels and Inns Business Act | 文京区文京保健所長　友松栄二 | 15文文生環き第503号
42590563,極楽な谷中＊暮らすように旅する昭和レトロな隠れ家/長期滞在可/台所付2部屋調理ok/新設シャワー室付,120678368,Mie,文京区,35.71977,139.76492,建物全体,14371,2,39,2024-06-27,1.99,4,303,29,Hotels and Inns Business Act | 東京都台東区台東保健所 | 2台台健生環き第10101号
45092349,New House opened! 61㎡ Sweet Room90m walk from St,349272614,薫,文京区,35.71154,139.73316,建物全体,36643,2,74,2024-04-20,1.66,10,348,15,Hotels and Inns Business Act | 文京区文京保健所長　佐藤壽志子 | 2019文文生環き第507号
45134404,【新装オープン記念！】都心にある広々70平米スーパースイート／最上階ペントハウス・駅徒歩90秒/4F,349272614,薫,文京区,35.71138,139.73319,建物全体,42614,2,147,2024-05-04,3.30,10,345,13,Hotels and Inns Business Act | 文京区文京保健所長　佐藤 壽志子 | 2019文文生環き第507号
45146267,【新装オープン記念！】都心にある広々40平米／駅徒歩90秒/主要都市へのアクセス抜群/201,349272614,薫,文京区,35.70959,139.73265,建物全体,29043,2,48,2024-04-21,1.09,10,338,9,Hotels and Inns Business Act | 文京区文京保健所長　佐藤壽志子 | 2019文文生環き第507号
45165233,【新装オープン記念！】都心にある広々40平米／駅徒歩90秒/主要都市へのアクセス抜群/202,349272614,薫,文京区,35.7093,139.73321,建物全体,27143,2,90,2024-05-21,2.02,10,353,10,Hotels and Inns Business Act | 文京区文京保健所長　佐藤壽志子 | 2019文文生環き第507号
45165310,【新装オープン記念！】都心にある広々40平米／駅徒歩90秒/主要都市へのアクセス抜群/301,349272614,薫,文京区,35.70925,139.73396,建物全体,27143,2,37,2024-04-09,0.83,10,336,3,Hotels and Inns Business Act | 文京区文京保健所長　佐藤壽志子 | 2019文文生環き第507号
45165400,新築の綺麗な一軒家を貸切！  3ベッドルーム＋LOFT(広々80㎡超！）,349272614,薫,文京区,35.71,139.73258,建物全体,49129,2,29,2024-04-07,0.68,10,319,6,Hotels and Inns Business Act | 文京区文京保健所長　佐藤壽志子 | 2019文文生環き第507号
45336845,Japan House Edogawabashi#3 mins to nearest sta.,331066175,Win,文京区,35.70946,139.72968,建物全体,15442,1,64,2024-06-25,1.41,11,168,27,Hotels and Inns Business Act | 新宿区保健所 | 3新保衛環第19号
45368811,Japan House Edogawabashi#3 mins to nearest sta.,331066175,Win,文京区,35.70866,139.73114,建物全体,15442,1,53,2024-06-20,1.16,11,88,16,Hotels and Inns Business Act | 新宿区保健所 | 3新保衛環第19号
45822032,成田空港から京成上野駅まで41分、交通便利、天満宮神社、東京大学、上野公園、アメ横、秋葉原,371483625,Best Faith,文京区,35.70645,139.76671,建物全体,,2,14,2023-06-28,0.35,9,0,0,Hotels and Inns Business Act | 文京区文京保健所 | ２０２０文文生環き第　５０１　号
46180000,New#Luxury#5mins to Station#Max6ppl#Free WIFI#,287720765,Naoki,文京区,35.70631,139.76996,建物全体,20000,1,59,2024-06-21,1.49,17,169,30,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第236号
46476243,Uhome Suido 501 New OPEN Modern Private Rm nr Sta.,73463626,Feng,文京区,35.70964,139.73931,建物全体,24971,1,39,2024-06-21,0.92,42,83,21,M130027321
46476285,Uhome Suido 402・New OPEN Modern Private Rm nr Sta.,73463626,Feng,文京区,35.70917,139.73924,建物全体,27074,1,25,2024-06-18,0.75,42,78,15,M130027319
46476301,Uhome Suido 502・New OPEN Modern Private Rm nr Sta.,73463626,Feng,文京区,35.71115,139.73797,建物全体,26943,1,48,2024-06-13,1.66,42,80,37,M130027322
46476351,Uhome Suido 403New OPEN Modern Private Rm nr Sta.,73463626,Feng,文京区,35.71064,139.7373,建物全体,15325,1,7,2023-05-14,0.16,42,79,0,M130027320
46993570,和室1名・無料Wi-FiでテレワークOK！谷根千エリアの中心！日暮里・西日暮里・千駄木駅が最寄！,249333581,Sakura Hotel Nippori,文京区,35.72806,139.7633,一般住宅個室,,1,12,2023-12-27,0.35,7,189,4,Hotels and Inns Business Act | 文京区文京保健所 | 28文文生環き第504号
46994088,シングルルーム・無料Wi-FiでテレワークOK！谷根千エリアの中心！日暮里・西日暮里・千駄木駅が最寄,249333581,Sakura Hotel Nippori,文京区,35.72769,139.76347,一般住宅個室,,1,2,2024-06-04,0.19,7,322,2,Hotels and Inns Business Act | 文京区文京保健所 | 28文文生環き第504号
46998836,和室3名・無料Wi-FiでテレワークOK！谷根千エリアの中心！日暮里・西日暮里・千駄木駅が最寄！,249333581,Sakura Hotel Nippori,文京区,35.72762,139.76321,一般住宅個室,,1,4,2024-01-17,0.26,7,333,1,Hotels and Inns Business Act | 文京区文京保健所 | 28文文生環き第504号
47300536,Uhome Sendagi 401 2LDK/Modern Private Rm nr Sta.,73463626,Feng,文京区,35.72578,139.76197,建物全体,16691,1,29,2024-06-21,0.76,42,87,18,M130027333
47301901,Uhome Sendagi 3011LDK/A Cozy Private Rm nr Sta.,73463626,Feng,文京区,35.72395,139.76164,建物全体,15167,1,13,2024-03-15,0.42,42,83,3,M130027331
47301964,Uhome Sendagi 501 1LDK/A Cozy Private Rm nr Sta.,73463626,Feng,文京区,35.72607,139.76086,建物全体,15640,1,25,2024-05-04,0.59,42,70,14,M130027334
47302032,Uhome Sendagi B02 1LDK/New OPEN Modern  Rm nr Sta,73463626,Feng,文京区,35.72462,139.76251,建物全体,10488,1,7,2024-04-20,0.36,42,80,4,M130027330
47302095,Uhome Sendagi 302 1LDK/New OPEN Private Rm nr Sta,73463626,Feng,文京区,35.72573,139.76208,建物全体,9555,1,25,2024-06-13,1.07,42,86,17,M130027332
47302142,Uhome Sendagi 502・1R/Modern Private Rm nr Sta.,73463626,Feng,文京区,35.72383,139.76165,建物全体,7899,1,22,2024-06-19,0.53,42,93,9,M130027335
51157316,Studio G2~❷New LOFT Apartment/Ikebukuro/Free WiFi,239692287,Shu,文京区,35.72278,139.72368,建物全体,6643,1,17,2024-05-28,0.55,18,336,9,M130029380
