id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1160595031155643725,菘 suzuna 室内風呂あり,246127193,ｴﾙｴｰ3,新宿区,35.6947164,139.7082999,一般住宅個室,12000,1,1,2024-06-08,1,29,92,1,Hotels and Inns Business Act | 新宿区保健所 | 31新保衛環第222号
1160600649534182053,Unique 3 Bedroom House in Shinjuku + Free WIFI,441980973,Noh,新宿区,35.700821178869745,139.7032687931089,一般住宅個室,23000,1,0,,,3,70,0,Hotels and Inns Business Act | 新宿区保健所 | 5新保衛環第175号
1160650496162346693,【マンスリー】新宿駅徒歩８分！緑あるデザイナーズホテル/光ネット/伊勢丹・歌舞伎町すぐ！,494924266,Tatsuhiro,新宿区,35.6923,139.70795,建物全体,20418,30,0,,,2,92,0,M130033476
1161161173964292612,Shinjuku Double Bed Room/Perfect Access Okubo2min,229308728,Henna,新宿区,35.70401,139.69721,建物全体,7471,1,0,,,18,78,0,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号
1161203502223395505,東新宿駅から徒歩4分！東京ライフを満喫！東新宿のスタイリッシュなアパート,578734762,Yuta,新宿区,35.697417,139.7046362,建物全体,15771,1,1,2024-06-02,1,1,154,1,M130039080
1161524259448915044,長期30日以上/新宿エリア/専用ジム/22㎡シングルベッド2台/,391461535,Oki,新宿区,35.714857649612156,139.6997768461031,建物全体,10000,30,0,,,6,130,0,M130038169
1161673529372711999,新宿三室一厅歌舞伎町2分钟,66732894,ELeVeN,新宿区,35.69585,139.7065,建物全体,47143,2,0,,,4,310,0,M130035681
1162631296302985353,Shinjuku Area Room(4people) to３min S.okubo Station,309457264,Yuki,新宿区,35.70147,139.69947,建物全体,9543,1,0,,,1,82,0,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号
1162705977082649813,Be tesla西新宿 _新宿エリア,276509624,帥,新宿区,35.6975947,139.6917157,建物全体,11781,1,0,,,2,119,0,M130033960
1162720495890022913,新宿まで1駅/駅徒歩9分/コンビニ2分/PokeMonと暮らすデザイナーズルーム/B030,153095665,Tsuyoshi,新宿区,35.6844366,139.6884055,建物全体,11017,1,2,2024-06-27,2,19,74,2,M130040693
1162756862509119161,新宿まで1駅/駅徒歩4分/大久保コリアンタウン徒歩1分/Pikachuイエローキュートな1階ルーム,153095665,Tsuyoshi,新宿区,35.7006828,139.7060658,建物全体,10389,1,1,2024-06-06,1,19,78,1,M130040692
1162806604299731373,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.706615895075934,139.69886775635118,建物全体,16224,3,0,,,53,101,0,M130040992
1162807115481377789,Sinnjyuku・家族やグループ・希少独立TOWNHOUSE,276509624,帥,新宿区,35.70553394306696,139.6922503419148,建物全体,28902,1,0,,,2,116,0,M130033534
1162810609141243763,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.7067212245751,139.70095637104686,建物全体,16224,3,0,,,53,101,0,M130041004
1162811872045063904,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70450846119949,139.69927637036565,建物全体,16224,3,1,2024-06-24,1,53,101,1,M130041010
1162813090604520087,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70459985464282,139.70078210996712,建物全体,16224,3,0,,,53,101,0,M130041018
1162814237728157845,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70485740307062,139.70086525090525,建物全体,16598,3,0,,,53,109,0,M130040993
1162815484814930276,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70474,139.69891,建物全体,16598,3,0,,,53,109,0,M130041005
1162817876493777807,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.706702599413475,139.69941523270083,建物全体,16598,3,0,,,53,109,0,M130041011
1162819190455152842,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70453639626483,139.70020066353064,建物全体,16598,3,0,,,53,109,0,M130041019
1162820442287502500,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70453,139.69961,建物全体,17784,3,0,,,53,133,0,M130040994
