id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
21220334,⑤Shin-koenji Guesthouse【Female only＆Private room】,44129457,Sangwon,杉並区,35.69107,139.65181,一般住宅個室,,1,31,2019-11-29,0.39,8,0,0,M130003035
21721258,3A★PET OK★Sunny1BedRmAPT 8mins>Shinjuku w/parking,100098226,Tomoko Cathy,杉並区,35.689431717738216,139.66242275146632,建物全体,8931,2,102,2024-05-26,1.27,3,343,10,Hotels and Inns Business Act | 東京都杉並区保健所 | 30杉保衛環第279号
21804845,Nishi-Ogikubo 1BR Twin Type-D (SSH1BRT-D) 5F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,19214,3,33,2024-05-26,0.42,20,191,3,M130002741
21820201,SHINJUKU W ★ FujiHouse 2rooms 2baths ★ Best Value,4626879,Tracey,杉並区,35.6922,139.66286,建物全体,19125,1,58,2024-04-12,0.74,8,178,12,M130013033
22070345,To Shinjuku 2 fastest stops/Japanese apt for ６,158802471,Miyu,杉並区,35.70528,139.6515,建物全体,29943,3,133,2024-06-20,1.67,3,161,25,M130003242
22090987,To Shinjuku 2 fastest stops/Japanese apt for 6,158802471,Miyu,杉並区,35.70546,139.65077,建物全体,32171,3,155,2024-06-23,1.94,3,114,33,Hotels and Inns Business Act | 杉並区杉並保健所 | 4杉保衛環第366号
22892704,Guest House Koenji Junjo Hotel 101 (Shinjuku:7min),169437708,Junjo Hotel,杉並区,35.70617,139.65349,一般住宅個室,,1,5,2023-08-18,0.07,5,126,1,Hotels and Inns Business Act | 杉並区杉並保健所 | 29杉保衛環第406号
22893534,Guest House Koenji Junjo Hotel 103 (Shinjuku:7min),169437708,Junjo Hotel,杉並区,35.7057,139.65403,一般住宅個室,,1,19,2024-05-30,0.26,5,64,5,Hotels and Inns Business Act | 杉並区杉並保健所 | 29杉保衛環第406号
22893694,Guest House Koenji Junjo Hotel 102 (Shinjuku:7min),169437708,Junjo Hotel,杉並区,35.70635,139.65371,一般住宅個室,,1,14,2024-05-18,0.19,5,111,1,Hotels and Inns Business Act | 杉並区杉並保健所 | 29杉保衛環第406号
22894319,Guest House Koenji Junjo Hotel 104 (Shinjuku:7min),169437708,Junjo Hotel,杉並区,35.7061,139.65392,一般住宅個室,,1,6,2023-03-20,0.08,5,113,0,Hotels and Inns Business Act | 杉並区杉並保健所 | 29杉保衛環第406号
22894468,Guest House Koenji Junjo Hotel 105 (Shinjuku:7min),169437708,Junjo Hotel,杉並区,35.70603,139.65395,一般住宅個室,6200,1,27,2024-02-12,0.37,5,95,2,Hotels and Inns Business Act | 杉並区杉並保健所 | 29杉保衛環第406号
23506737,A cozy life in Suginami - direct train to Shibuya!,68828017,Nanako,杉並区,35.67886,139.63364,建物全体,52857,2,64,2024-05-31,0.87,2,112,11,M130000079
23720011,新宿まで2駅で部屋から10分　駅近なのに静かな快適環境の小さなマンションステイ。,152014889,Takashi & Shiho,杉並区,35.70565,139.64929,建物全体,20357,2,160,2024-06-18,2.10,1,130,54,Hotels and Inns Business Act | 杉並区杉並保健所 | 5杉保衛環第257号
23774007,"301★wifi18 min to Shinjuku, 2 min walk station",177445547,Enzo,杉並区,35.7242,139.61218,建物全体,5560,1,145,2024-06-24,1.91,37,113,46,Hotels and Inns Business Act | 杉並区保健所 | 30杉保衛環第348号
23782998,306wifi18 minutes to Shinjuku!  2 min walk station,177445547,Enzo,杉並区,35.72557,139.61375,建物全体,6129,1,61,2024-06-05,0.80,37,164,9,Hotels and Inns Business Act | 東京都杉並保健所 | 30杉保衛環第348号
23791991,406wifi18 minutes to Shinjuku!  2 min walk station,177445547,Enzo,杉並区,35.72487,139.61414,建物全体,6000,1,78,2024-06-09,1.03,37,100,16,Hotels and Inns Business Act | 東京都杉並区保健所 | 30杉保衛環第348号
23812494,401wifi18 minutes to Shinjuku!  2 min walk station,177445547,Enzo,杉並区,35.72491,139.61461,建物全体,6950,1,145,2024-06-25,1.91,37,243,39,Hotels and Inns Business Act | 東京都杉並区 | 30杉保衛環第348号
24239837,"1 minute to Takaido! Direct to Shibuya ,Kichijoji",182723327,Takada,杉並区,35.68296,139.61549,建物全体,12618,2,105,2024-06-06,1.39,5,335,14,M130031745
24268546,和室とキッチン room wi-fi 長期割引あり。駅近、学生歓迎！,93851602,Shigeru,杉並区,35.68129,139.65952,建物全体,12000,5,23,2022-07-31,0.31,6,166,0,M130000001
24336670,リリレオ　高円寺　101号室,23956957,Kana,杉並区,35.70236,139.64628,建物全体,29571,1,129,2024-02-26,1.71,3,215,12,M130000219
24357706,Ririleo Koenji Room 102. 2 stations from Shinjuku,23956957,Kana,杉並区,35.70034,139.64569,建物全体,27600,1,117,2024-06-15,1.56,3,182,34,M130000220
24378724,Ririleo Koenji Room 103. 2 stations from Shinjuku,23956957,Kana,杉並区,35.70197,139.64617,建物全体,29571,1,135,2024-06-07,1.80,3,192,24,M130000221
25389822,Vacant room in my house I live in . Semi-Private,191676897,Studio-R,杉並区,35.6768,139.6612,一般住宅個室,8286,2,98,2024-06-27,1.33,1,116,24,M130002887
25895949,"Nature, vegetarian, Ghibli !  Unique Aero House",36335780,Yoko,杉並区,35.71649,139.59821,一般住宅個室,6435,3,74,2024-06-11,1.01,2,103,26,M130000309
26681306,#1 50㎡ Renovated Spacious House near Shinjuku/WiFi,200518670,Jun,杉並区,35.72175,139.62297,建物全体,13229,1,121,2024-06-27,1.75,2,342,18,M130006856
27963951,503 ENZO iogi Condo and Apartment,177445547,Enzo,杉並区,35.72346,139.61285,建物全体,5036,1,144,2024-06-15,2.04,37,84,38,Hotels and Inns Business Act | 東京都杉並区 | 30杉保衛環第348号
28017428,CuteFamilyHouse FreeParking 6minShinjuku 6minSta.,36582105,Emi,杉並区,35.67344,139.66048,建物全体,33429,2,228,2024-06-27,3.31,3,162,50,Hotels and Inns Business Act | 東京都杉並区保健所 | 30杉保衛環第207号
28070939,"Aero House 2: meet  local life, Nature,vegetarian",36335780,Yoko,杉並区,35.71602,139.59818,一般住宅個室,7239,3,29,2024-06-13,0.42,2,99,16,M130000309
28259271,Apartment style in Shinjuku area (B&B TOKYO),87485600,Mamoru,杉並区,35.6889,139.66083,建物全体,11414,4,43,2024-06-26,0.63,2,33,11,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第195号
28291612,70㎡ fully private house (10min to Shinjuku),87485600,Mamoru,杉並区,35.6891,139.66098,建物全体,27500,4,20,2024-06-12,0.34,2,54,3,Hotels and Inns Business Act | 東京都杉並区保健所 | 30杉保衛環第427号
28371492,w/Breakfast. calming space. 13 mins to inner city,214203053,Yagi,杉並区,35.67534150115842,139.63408970832828,一般住宅個室,23714,1,124,2024-06-29,1.76,1,162,27,M130007266
28445305,Azabujuban ST/BIG Place,209649623,ApartmentforstayTaise Cristina,杉並区,35.69369,139.62975,建物全体,30000,7,5,2019-10-29,0.07,2,363,0,M130005863
28628677,#2 50㎡ Renovated Spacious House near Shinjuku/WiFi,200518670,Jun,杉並区,35.72321,139.62165,建物全体,14229,1,75,2024-06-08,1.09,2,269,12,M130006857
28790938,Private In Tokyo /3min Sta Anything within 3 min,138109993,Sae,杉並区,35.68428,139.62799,建物全体,,180,33,2020-04-25,0.48,3,179,0,M130008994
29021285,5 min to Shin-Koenji Sta. Woman only 4 dorm beds.,38655722,"Top Edge Co., Ltd.",杉並区,35.70057,139.64757,ホテル個室,4714,1,32,2024-04-30,0.46,10,358,16,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第241号
29027070,5 min to Shin-Koenji Sta. Mixed 6 dorm beds.,38655722,"Top Edge Co., Ltd.",杉並区,35.70056,139.64752,ホテル個室,4714,1,61,2023-12-25,0.88,10,358,7,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第241号
29226455,B&B /Room 3,209649623,ApartmentforstayTaise Cristina,杉並区,35.69314,139.62926,一般住宅個室,5500,7,10,2024-05-23,0.15,2,333,2,M130005863
29326227,CuteFamilyHouse! 8min Shinjuku 5minJR/3minSub,36582105,Emi,杉並区,35.70129,139.63556,建物全体,29057,2,213,2024-06-11,3.15,3,143,57,Hotels and Inns Business Act | 東京都杉並区保健所 | 30杉保衛環第208号
29341217,"Private, entire apartment for long term  stay",221051191,Heath,杉並区,35.71101,139.6154,建物全体,11000,7,36,2024-04-18,0.52,1,149,6,M130008470
29545441,【Room Rental】5 min to Shin-Koenji Sta. 4 dorm beds,38655722,"Top Edge Co., Ltd.",杉並区,35.7017,139.64687,ホテル個室,18857,1,10,2023-12-09,0.15,10,300,2,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第241号
