id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
24818064,120㎡　東京の豪華な和風　無料文化体験　ジャグジー,187626252,Keiko,北区,35.76739,139.73149,建物全体,42000,1,123,2024-06-23,1.67,1,201,28,M130000561
25281888,#401 -3 min JR Sta.｜7min Ikebukuro｜15min Shinjuku,97903375,Max,北区,35.73709,139.75025,一般住宅個室,11616,2,50,2024-06-21,0.75,7,111,37,Hotels and Inns Business Act | 豊島区池袋保健所 | 元豊池保衛環き第90号
25341447,Famous Beautiful Japanese Gardens by walk,48739707,Maki Nicestaytokyo,北区,35.74003,139.74675,建物全体,20912,1,58,2023-12-03,0.81,3,278,3,M130004327
26621994,♪ Ikebukuro is in 4 minutes by walking♪New house,199616660,Shiqing,北区,35.75956,139.7273,建物全体,30800,3,55,2024-04-06,0.76,1,64,9,M130002846
26798863,"[K2L]near to Shinjuku,Shibuya,Ueno etc,selfcheckIn",193171483,Liyan,北区,35.73949,139.74762,一般住宅個室,5143,1,105,2024-06-28,1.50,13,350,13,M130012912
27530652,Ikebukuro・Ueno! Akabane St 5min! 7PPL!(MS36),207664421,Plays,北区,35.77356,139.72233,建物全体,17714,2,140,2024-06-18,2.00,2,41,11,M130005391
28825212,Oji station 10 min!Small Double Bed/Max2/Wifi/#101,151336818,Yuka,北区,35.74795,139.73392,建物全体,10686,1,33,2024-06-23,0.49,4,179,16,M130003752
29244074,Japanese-style house detached house（日式独立房）,21504159,Michi,北区,35.76074,139.73553,建物全体,22803,3,29,2024-05-06,0.44,20,90,11,M130005753
29386599,"AloBnB 3 - Self checkin - Near Komagome, Ikebukuro",208210870,Alo,北区,35.73879,139.75285,建物全体,,2,39,2024-06-02,0.57,6,118,9,M130009013
29841824,3-min from Komagome station/Long-term discount,224250516,Sozo,北区,35.73975,139.74961,建物全体,23980,2,93,2024-06-10,1.36,9,147,40,Hotels and Inns Business Act | 東京都北区保健所 | 2北健生衛き第8号
30216060,japanese style. Concrete striking wall and wood,226939614,Yoshinaga,北区,35.74651687706765,139.74681593477726,建物全体,15000,2,55,2024-04-29,0.82,1,229,22,M130007772
30350570,銭湯テルメ末広のアパート、昭和雰囲気を銭湯を満喫、池袋まで25分＃Room101/A006,227883207,Katsumi,北区,35.78256,139.7308,建物全体,9093,1,68,2024-05-30,1.01,2,181,18,M130010894
30825645,3 min walk from JR Station (Global Life #001),71585310,梅田Umeda,北区,35.76519,139.72805,建物全体,21571,2,16,2024-06-10,0.24,2,22,7,M130011386
30825706,3 min walk from JR Station (Global Life #001),71585310,梅田Umeda,北区,35.76509,139.7277,建物全体,10286,4,34,2024-06-19,0.52,2,46,17,M130011388
31046828,山手線地下鉄南北線駒込駅徒歩５分個室で専用トイレとシャワールーム付き#5,50268519,Hideyoshi,北区,35.73605,139.75307,一般住宅個室,11000,4,25,2024-05-26,0.39,4,59,13,M130006497
31047241,山手線地下鉄南北線駒込駅徒歩５分個室で専用トイレとシャワールーム付き#2,50268519,Hideyoshi,北区,35.73578,139.75313,一般住宅個室,9000,3,21,2024-05-28,0.32,4,32,9,M130006497
31426411,K&K Jujo House: 10 mins to Shinjuku/Free-Wifi,157704520,Kazumi,北区,35.762,139.72469,建物全体,25000,3,114,2024-06-25,1.72,3,176,35,Hotels and Inns Business Act | 東京都北区保健所 | 30北健生環き第48号
31912113,aobaya青葉屋101室，山手线田端北口徒步5分，独立空间，阳光满满。,239235012,漢和,北区,35.7408,139.76401,建物全体,,1,44,2020-07-07,0.69,2,0,0,Hotels and Inns Business Act | 東京都北区保建所 | 30北健生環き第68号
32011299,"[3NL]near to Shinjuku,Shibuya,Ueno etc,selfcheckIn",193171483,Liyan,北区,35.74023,139.74859,一般住宅個室,5743,1,65,2024-06-02,0.99,13,359,6,M130012913
32042533,"[Kn]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,北区,35.740293086639944,139.746790602735,一般住宅個室,5286,1,60,2024-06-09,0.91,13,361,13,M130012913
32043034,"[Kc2]near to Shinjuku,Shibuya,Ueno etc,selfcheckIn",193171483,Liyan,北区,35.74070033933981,139.74647345168262,一般住宅個室,5000,1,58,2024-06-21,0.89,13,362,19,M130012912
32096896,王子神谷駅付近,40553944,Katutoshi,北区,35.76055,139.73473,建物全体,47857,2,0,,,2,90,0,M130005753
32118578,aobaya青葉屋201室，山手线田端北口徒步5分，独立空间，阳光满满。,239235012,漢和,北区,35.7408,139.76402,建物全体,,1,46,2020-02-27,0.72,2,0,0,Hotels and Inns Business Act | 東京都北区保建所 | 30北健生環き第68号
32328985,"[kc1]near to Shinjuku,Shibuya,Ueno etc,selfcheckIn",193171483,Liyan,北区,35.74005,139.74878,一般住宅個室,5143,1,81,2024-06-09,1.25,13,364,11,M130012912
32418789,"[Kc3]near to Shinjuku,Shibuya,Ueno etc,24H checkIn",193171483,Liyan,北区,35.74048,139.74672,一般住宅個室,5186,1,34,2024-06-09,0.52,13,325,10,M130012912
33350150,"【MONTHLY】8MIN TO IKEBUKURO, FULL 2 STORY HOME!!",207664421,Plays,北区,35.77475,139.72272,建物全体,16000,30,4,2024-02-29,0.44,2,311,4,M130005391
33644699,Akabane /Free WIFI / 13min Akabane stiation #201,253559407,Eri,北区,35.7708,139.72785,建物全体,9600,1,24,2024-02-03,0.39,28,117,3,Hotels and Inns Business Act | 東京都北区保健所 | ２北健生環き第２６号
33839874,Akabane /Free WIFI / 13min Akabane stiation #202,253559407,Eri,北区,35.77057,139.72776,建物全体,8418,1,23,2024-06-02,0.37,28,131,1,Hotels and Inns Business Act | 東京都北区保健所 | ２北健生環き第２６号
